#hg38.knownGene.name	hg38.knownGene.chrom	hg38.knownGene.strand	hg38.knownGene.txStart	hg38.knownGene.txEnd	hg38.knownGene.cdsStart	hg38.knownGene.cdsEnd	hg38.knownGene.exonCount	hg38.knownGene.exonStarts	hg38.knownGene.exonEnds	hg38.knownGene.proteinID	hg38.knownGene.alignID	hg38.kgXref.geneSymbol
ENST00000340413.7	chr6	-	149724314	149746529	149726968	149746495	8	149724314,149731612,149736470,149738642,149742389,149743637,149745939,149746375,	149727198,149731735,149736622,149738778,149742570,149743715,149746062,149746529,	Q8NFH3	uc003qmz.6	NUP43
ENST00000367404.8	chr6	-	149726767	149746528	149726968	149746495	6	149726767,149731612,149742389,149743637,149745939,149746375,	149727198,149731735,149742570,149743715,149746062,149746528,	Q8NFH3	uc011eef.3	NUP43
ENST00000403890.7	chr6	-	149731397	149746560	149738745	149746495	6	149731397,149736470,149738642,149743637,149745939,149746375,	149731735,149736622,149738778,149743715,149746062,149746560,	B4E301	uc063sez.1	NUP43
ENST00000367402.6	chr6	-	149731564	149746552	149736560	149746495	6	149731564,149736470,149742389,149743637,149745939,149746375,	149731735,149736622,149742570,149743715,149746062,149746552,	B4DVD1	uc063sfa.1	NUP43
ENST00000543637.1	chr6	-	149738765	149746535	149738765	149746495	5	149738765,149742389,149743637,149745939,149746375,	149738778,149742570,149743715,149746083,149746535,	F5H0E3	uc063sfb.1	NUP43
ENST00000463048.3	chr6	-	149743637	149749665	149743637	149743637	3	149743637,149745939,149749343,	149743715,149746062,149749665,		uc063sfc.1	NUP43
ENST00000484601.6	chr6	+	149749443	149796433	149749901	149772088	7	149749443,149771161,149772047,149773137,149789953,149793548,149796414,	149749956,149771266,149772247,149773169,149790058,149793669,149796433,	F8WAV5	uc063sfd.2	PCMT1
ENST00000367378.6	chr6	+	149749443	149802530	149749901	149802379	7	149749443,149771161,149773137,149789953,149793548,149796414,149802199,	149749956,149771266,149773169,149790058,149793669,149796500,149802530,	P22061	uc003qna.5	PCMT1
ENST00000367380.9	chr6	+	149749694	149811420	149749727	149802379	7	149749694,149773137,149789953,149793548,149796414,149802199,149810615,	149749956,149773169,149790058,149793669,149796500,149802416,149811420,	A0A3F2YNX8	uc011eeg.3	PCMT1
ENST00000544496.5	chr6	+	149749694	149811420	149749727	149802379	7	149749694,149771161,149773137,149793548,149796414,149802199,149810615,	149749956,149771266,149773169,149793669,149796500,149802416,149811420,	F6S8N6	uc003qnd.4	PCMT1
ENST00000460828.6	chr6	+	149749726	149773150	149749901	149772042	4	149749726,149771161,149772013,149773137,	149749956,149771266,149772247,149773150,	F8WDT3	uc063sfe.2	PCMT1
ENST00000494411.6	chr6	+	149749726	149790056	149749901	149772613	5	149749726,149771161,149772554,149773137,149789953,	149749956,149771266,149772684,149773169,149790056,	F8WAX2	uc063sff.2	PCMT1
ENST00000367384.8	chr6	+	149749740	149811419	149749901	149810628	8	149749740,149771161,149773137,149789953,149793548,149796414,149802199,149810615,	149749956,149771266,149773169,149790058,149793669,149796500,149802369,149811419,	P22061	uc003qne.6	PCMT1
ENST00000464889.7	chr6	+	149749740	149811419	149749901	149802379	8	149749740,149771161,149773137,149789953,149793548,149796414,149802199,149810615,	149749956,149771266,149773169,149790058,149793669,149796500,149802416,149811419,	P22061	uc003qnb.6	PCMT1
ENST00000486585.2	chr6	+	149749815	149793669	149749901	149765752	7	149749815,149765690,149771161,149772013,149773137,149789953,149793548,	149749956,149765753,149771266,149772247,149773169,149790058,149793669,	H7C4X2	uc063sfg.2	PCMT1
ENST00000495487.1	chr6	+	149750043	149793632	149771199	149793632	5	149750043,149771161,149773137,149789953,149793548,	149750265,149771266,149773169,149790058,149793632,	C9J0F2	uc063sfh.1	PCMT1
ENST00000404779.2	chr6	+	149794762	149795746	149794762	149794762	2	149794762,149795219,	149794911,149795746,		uc286yto.1	BTBD10P2
ENST00000455607.3	chr6	-	149796150	149798172	149796150	149796150	2	149796150,149797920,	149797439,149798172,		uc063sfi.1	ENSG00000231760
ENST00000628047.1	chr6	-	149797316	149826294	149797316	149797316	2	149797316,149826263,	149798161,149826294,		uc063sfj.1	ENSG00000285889
ENST00000622897.2	chr6	-	149797374	149799150	149797374	149797374	2	149797374,149799055,	149798161,149799150,		uc063sfk.1	ENSG00000231760
ENST00000480010.1	chr6	+	149810039	149810908	149810039	149810039	2	149810039,149810615,	149810123,149810908,		uc063sfl.1	PCMT1
ENST00000647612.1	chr6	-	149817936	149896011	149869064	149890901	15	149817936,149826263,149836084,149837337,149842982,149853002,149864884,149865215,149868702,149868861,149888538,149889347,149889884,149890816,149895845,	149820703,149826359,149836297,149837463,149843124,149853160,149864973,149865344,149868780,149869078,149888667,149889623,149890145,149891034,149896011,	A0A3B3IU27	uc285yys.1	ENSG00000285991
ENST00000239367.7	chr6	-	149818756	149864359	149820548	149864020	7	149818756,149826263,149836084,149837337,149842982,149853002,149863407,	149820703,149826359,149836297,149837463,149843124,149853160,149864359,	Q86VZ4	uc003qng.4	LRP11
